,sbj_id,id_learning_sen,target_order,complexity,target,n_of_fix,tot_dur_target,single_fix,gaze_dur_target
6651,43,17hf3,8,hf,vugipogno,15,3173,,409
6652,43,3lf8,10,lf,mudegespa,12,2792,,1068
6653,43,12lf4,10,lf,"pubbanasio,",10,2132,,733
6654,43,15lf4,10,lf,cridolinna,2,473,,473
6655,43,17hf10,9,hf,vugipogno,14,3373,,550
6656,43,2hf4,10,hf,zudulondo,4,705,215.0,215
6657,43,17hf4,10,hf,vugipogno,6,1381,352.0,352
6658,43,11hf2,10,hf,mernidallo,3,879,,879
6659,43,5hf10,10,hf,vutuvenso,2,483,,483
6660,44,6sf5,1,sf,tobufizia,8,2056,,1129
6661,44,18sf10,1,sf,pobedismo,7,1324,,1043
6662,44,2lf5,1,lf,zudulespa,13,2899,,1139
6663,44,15sf6,1,sf,cridolario,13,2785,,1334
6664,44,16hf1,1,hf,"cevecogno,",8,1942,,1375
6665,44,16hf9,2,hf,cevecogno,8,1539,,255
6666,44,5lf9,1,lf,vutuvolmo,9,2340,252.0,252
6667,44,18sf1,2,sf,pobedismo:,8,1732,,1057
6668,44,9sf6,1,sf,"cettobiere,",9,1579,,982
6669,44,1hf8,1,hf,rugobondo:,9,1957,,1476
6670,44,10hf6,1,hf,cribotallo:,5,1774,,918
6671,44,11lf7,1,lf,mernidasio,9,1645,83.0,83
6672,44,13hf8,1,hf,dorguvosto,14,4151,,2440
6673,44,8lf10,1,lf,"vicraziaba,",9,2589,,717
6674,44,17lf4,1,lf,vugipepre,7,1792,,932
6675,44,5lf6,2,lf,vutuvolmo,6,1614,,1333
6676,44,4hf9,1,hf,ceburenso,14,3804,,1067
6677,44,6sf2,2,sf,tobufizia,12,2865,237.0,237
6678,44,8lf2,2,lf,vicraziaba,11,2316,257.0,257
6679,44,17lf6,2,lf,vugipepre,9,1987,106.0,106
6680,44,3sf10,1,sf,mudegenza;,13,4098,,1119
6681,44,3sf3,2,sf,"mudegenza,",8,2054,139.0,139
6682,44,8lf3,3,lf,vicraziaba,9,2083,,877
6683,44,10hf10,2,hf,cribotallo,7,1295,,277
6684,44,16hf7,3,hf,cevecogno,10,2420,,854
6685,44,13hf3,2,hf,dorguvosto,15,3829,,1906
6686,44,15sf8,2,sf,cridolario,8,1926,,704
6687,44,7hf8,1,hf,clivunento,10,2585,,2124
6688,44,18sf7,3,sf,pobedismo,11,2227,,696
6689,44,16hf10,4,hf,cevecogno,10,2514,,542
6690,44,3sf6,3,sf,mudegenza,9,2272,,1154
6691,44,9sf7,2,sf,cettobiere,8,1653,,1026
6692,44,15sf5,3,sf,cridolario,13,3773,191.0,191
6693,44,2lf3,2,lf,zudulespa,8,1886,,1281
6694,44,5lf7,3,lf,vutuvolmo,5,1343,,568
6695,44,6sf7,3,sf,tobufizia,13,3775,,1193
6696,44,16hf2,5,hf,cevecogno,5,943,,943
6697,44,9sf10,3,sf,"cettobiere,",3,602,283.0,283
6698,44,14lf5,1,lf,slobadinna,15,3862,,2066
6699,44,11lf5,2,lf,mernidasio,6,1257,177.0,177
6700,44,10hf4,3,hf,cribotallo,11,3224,285.0,285
6701,44,11lf3,3,lf,mernidasio,10,2394,,921
6702,44,11lf1,4,lf,mernidasio,6,2199,,546
6703,44,1hf3,2,hf,rugobondo,12,2597,,514
6704,44,1hf10,3,hf,rugobondo,3,1188,279.0,279
6705,44,13hf10,3,hf,dorguvosto,10,2804,,2410
6706,44,14lf9,1,lf,slibadinna,5,996,,996
6707,44,5lf10,4,lf,vutuvolmo,2,474,332.0,332
6708,44,13hf7,4,hf,dorguvosto:,15,2959,,1046
6709,44,7hf7,2,hf,clivunento,10,2687,,1293
6710,44,14lf1,2,lf,slobadinna:,6,1743,,957
6711,44,12sf10,1,sf,pubbanista,9,2423,,1315
6712,44,13hf6,5,hf,dorguvosto,6,1272,136.0,136
6713,44,5lf8,5,lf,vutuvolmo,3,585,,445
6714,44,2lf7,3,lf,zudulespa,10,2790,,816
6715,44,5lf5,6,lf,vutuvolmo,2,274,,274
6716,44,6sf10,4,sf,"tobufizia,",12,3068,201.0,201
6717,44,6sf6,5,sf,tobufizia,6,1244,104.0,104
6718,44,10hf3,4,hf,"cribotallo,",3,662,419.0,419
